DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2024-04-10,2024-04-10 03:00,24.2,75.6,Partly cloudy,87,7.9,1009.0
2024-04-10,2024-04-10 04:00,25.0,77.0,Partly cloudy,88,7.9,1010.0
2024-04-10,2024-04-10 05:00,23.9,75.1,Cloudy,89,8.6,1010.0
2024-04-10,2024-04-10 06:00,25.7,78.3,Partly cloudy,87,6.8,1011.0
2024-04-10,2024-04-10 07:00,27.2,80.9,Partly cloudy,75,8.3,1012.0
2024-04-10,2024-04-10 08:00,29.5,85.1,Cloudy,63,10.1,1013.0
2024-04-10,2024-04-10 09:00,31.7,89.1,Sunny,50,10.8,1012.0
2024-04-10,2024-04-10 10:00,33.7,92.6,Sunny,41,10.8,1011.0
2024-04-10,2024-04-10 11:00,35.8,96.4,Sunny,34,12.2,1010.0
2024-04-10,2024-04-10 12:00,37.6,99.6,Sunny,28,14.0,1008.0
2024-04-10,2024-04-10 13:00,38.9,102.0,Sunny,25,16.6,1007.0
2024-04-10,2024-04-10 14:00,38.2,100.8,Sunny,23,19.8,1006.0
2024-04-10,2024-04-10 15:00,37.7,99.9,Sunny,22,22.7,1006.0
2024-04-10,2024-04-10 16:00,36.5,97.7,Sunny,24,23.8,1005.0
2024-04-10,2024-04-10 17:00,34.3,93.7,Sunny,30,21.2,1006.0
2024-04-10,2024-04-10 18:00,31.7,89.1,Sunny,44,18.2,1008.0
2024-04-10,2024-04-10 19:00,28.8,83.9,Clear,58,17.5,1009.0
2024-04-10,2024-04-10 20:00,28.4,83.1,Clear,68,19.4,1010.0
2024-04-10,2024-04-10 21:00,27.6,81.7,Clear,73,15.5,1010.0
2024-04-10,2024-04-10 22:00,27.1,80.9,Clear,76,10.8,1011.0
2024-04-10,2024-04-10 23:00,26.5,79.8,Clear,79,6.8,1010.0
2024-04-11,2024-04-11 00:00,26.2,79.2,Clear,81,6.8,1010.0
2024-04-11,2024-04-11 01:00,25.8,78.5,Clear,83,6.1,1010.0
2024-04-11,2024-04-11 02:00,25.5,78.0,Clear,84,4.7,1009.0
2024-04-11,2024-04-11 03:00,25.4,77.7,Clear,85,5.0,1009.0
2024-04-11,2024-04-11 04:00,25.4,77.6,Clear,86,6.1,1010.0
2024-04-11,2024-04-11 05:00,25.4,77.8,Clear,87,6.5,1011.0
2024-04-11,2024-04-11 06:00,25.6,78.0,Clear,84,5.8,1011.0
2024-04-11,2024-04-11 07:00,27.0,80.6,Patchy rain possible,74,5.4,1012.0
2024-04-11,2024-04-11 08:00,27.0,80.6,Moderate or heavy rain shower,63,4.0,1012.0
2024-04-11,2024-04-11 09:00,29.4,85.0,Patchy rain possible,52,4.3,1012.0
2024-04-11,2024-04-11 10:00,32.7,90.9,Sunny,43,5.0,1012.0
2024-04-11,2024-04-11 11:00,34.5,94.1,Patchy rain possible,35,5.8,1011.0
2024-04-11,2024-04-11 12:00,36.1,97.0,Sunny,30,6.8,1009.0
2024-04-11,2024-04-11 13:00,37.0,98.6,Sunny,27,8.6,1007.0
2024-04-11,2024-04-11 14:00,37.8,100.0,Sunny,25,10.8,1006.0
2024-04-11,2024-04-11 15:00,37.5,99.6,Sunny,26,19.8,1006.0
2024-04-11,2024-04-11 16:00,35.9,96.6,Sunny,33,22.9,1006.0
2024-04-11,2024-04-11 17:00,34.4,93.9,Sunny,41,23.4,1007.0
2024-04-11,2024-04-11 18:00,29.7,85.5,Patchy rain possible,51,24.8,1008.0
2024-04-11,2024-04-11 19:00,28.2,82.7,Moderate or heavy rain shower,64,16.3,1009.0
2024-04-11,2024-04-11 20:00,27.9,82.2,Moderate rain at times,73,11.8,1010.0
2024-04-11,2024-04-11 21:00,26.4,79.5,Moderate or heavy rain shower,76,10.0,1011.0
2024-04-11,2024-04-11 22:00,27.2,80.9,Patchy rain possible,77,13.3,1011.0
2024-04-11,2024-04-11 23:00,26.7,80.0,Patchy rain possible,79,8.6,1011.0
2024-04-12,2024-04-12 00:00,26.2,79.1,Patchy rain possible,78,4.9,1010.0
2024-04-12,2024-04-12 01:00,26.9,80.3,Clear,80,7.9,1009.0
2024-04-12,2024-04-12 02:00,26.6,79.9,Partly cloudy,82,8.3,1009.0
2024-04-12,2024-04-12 03:00,26.4,79.5,Cloudy,83,7.9,1009.0
2024-04-12,2024-04-12 04:00,26.2,79.2,Cloudy,85,7.2,1009.0
2024-04-12,2024-04-12 05:00,26.0,78.8,Partly cloudy,86,6.5,1009.0
2024-04-12,2024-04-12 06:00,26.5,79.7,Overcast,83,5.8,1010.0
2024-04-12,2024-04-12 07:00,28.0,82.4,Overcast,74,7.6,1011.0
2024-04-12,2024-04-12 08:00,30.2,86.3,Partly cloudy,61,10.8,1012.0
2024-04-12,2024-04-12 09:00,31.2,88.2,Patchy rain possible,50,12.2,1012.0
2024-04-12,2024-04-12 10:00,31.9,89.4,Heavy rain at times,40,13.3,1011.0
2024-04-12,2024-04-12 11:00,33.5,92.3,Patchy rain possible,33,14.8,1011.0
2024-04-12,2024-04-12 12:00,35.3,95.6,Patchy rain possible,29,17.3,1009.0
2024-04-12,2024-04-12 13:00,36.5,97.6,Patchy rain possible,28,16.4,1008.0
2024-04-12,2024-04-12 14:00,35.5,96.0,Patchy rain possible,32,19.3,1007.0
2024-04-12,2024-04-12 15:00,34.2,93.6,Moderate rain at times,36,19.9,1006.0
2024-04-12,2024-04-12 16:00,33.6,92.6,Sunny,40,19.9,1006.0
2024-04-12,2024-04-12 17:00,32.4,90.4,Sunny,45,21.7,1007.0
